Cover_Type,Cover_Long,Max_Coverage_pct,Temp_Celsius,Wind_Speed,Wind_Direction,Visibility,Date
OVC,Overcast,1.00,-0.6,0,0,3,2023-01-11
OVC,Overcast,1.00,-0.6,0,0,3,2023-01-11
OVC,Overcast,1.00,0.6,0,0,3,2023-01-11
OVC,Overcast,1.00,0.6,0,0,3,2023-01-11
OVC,Overcast,1.00,0.6,4,320,3,2023-01-11
OVC,Overcast,1.00,0.6,5,320,3,2023-01-11
OVC,Overcast,1.00,0.6,6,320,3,2023-01-11
OVC,Overcast,1.00,0.6,6,330,3,2023-01-11
OVC,Overcast,1.00,0,10,340,3,2023-01-12
OVC,Overcast,1.00,0,8,340,5,2023-01-12
OVC,Overcast,1.00,0,6,340,5,2023-01-12
OVC,Overcast,1.00,0,9,320,5,2023-01-12
OVC,Overcast,1.00,0,8,310,5,2023-01-12
OVC,Overcast,1.00,0,6,310,6,2023-01-12
OVC,Overcast,1.00,0,7,310,5,2023-01-12
OVC,Overcast,1.00,-1.7,14,310,5,2023-01-12
OVC,Overcast,1.00,-2.8,11,330,4,2023-01-12
OVC,Overcast,1.00,-3.9,13,310,6,2023-01-12
OVC,Overcast,1.00,-4.4,14,320,6,2023-01-12
OVC,Overcast,1.00,-4.4,12,320,6,2023-01-12
OVC,Overcast,1.00,-5,11,320,7,2023-01-12
OVC,Overcast,1.00,-5,12,310,7,2023-01-12
OVC,Overcast,1.00,-5,12,320,8,2023-01-12
OVC,Overcast,1.00,-5,12,330,10,2023-01-12
OVC,Overcast,1.00,-5,11,320,10,2023-01-12
OVC,Overcast,1.00,-4.4,11,340,10,2023-01-12
OVC,Overcast,1.00,-4.4,14,320,10,2023-01-12
OVC,Overcast,1.00,-5,14,340,10,2023-01-12
OVC,Overcast,1.00,-5,11,330,10,2023-01-12
OVC,Overcast,1.00,-5,13,330,10,2023-01-12
OVC,Overcast,1.00,-5.6,12,350,10,2023-01-12
OVC,Overcast,1.00,-5.6,12,330,9,2023-01-13
OVC,Overcast,1.00,-6,7,350,10,2023-01-13
OVC,Overcast,1.00,-6.1,12,330,10,2023-01-13
OVC,Overcast,1.00,-6.1,12,330,10,2023-01-13
OVC,Overcast,1.00,-6.7,12,360,10,2023-01-13
OVC,Overcast,1.00,-6.7,10,350,10,2023-01-13
OVC,Overcast,1.00,-7.2,10,350,10,2023-01-13
OVC,Overcast,1.00,-7.2,9,350,10,2023-01-13
OVC,Overcast,1.00,-7.2,6,350,10,2023-01-13
OVC,Overcast,1.00,-7.2,8,10,10,2023-01-13
OVC,Overcast,1.00,-7.2,8,30,10,2023-01-13
OVC,Overcast,1.00,-7.2,5,330,10,2023-01-13
OVC,Overcast,1.00,-7.2,5,10,10,2023-01-13
OVC,Overcast,1.00,-7.2,4,20,10,2023-01-13
OVC,Overcast,1.00,-7.8,5,350,10,2023-01-13
