Type,Station,Observed_Date,Temp_Celsius,DewPoint_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility,Observation,Logged_Date
"METAR","KMSP","2022-12-28T23:53:00Z",2.2,-1.7,5,160,"OVC",10,"KMSP 282353Z 16005KT 10SM FEW090 BKN130 OVC250 02/M02 A2947 RMK AO2 SLP989 4/008 VIRGA T00221017 10033 20017 51023",2022.12.28-18.55.01
"METAR","KMSP","2022-12-29T00:53:00Z",1.7,-1.7,5,160,"OVC",10,"KMSP 290053Z 16005KT 10SM FEW100 BKN130 OVC250 02/M02 A2948 RMK AO2 SLP990 VIRGA T00171017",2022.12.28-19.55.01
"METAR","KMSP","2022-12-29T01:53:00Z",1.7,-1.7,7,160,"OVC",10,"KMSP 290153Z 16007KT 10SM FEW120 BKN130 OVC250 02/M02 A2948 RMK AO2 SLP991 T00171017",2022.12.28-20.55.01
"METAR","KMSP","2022-12-29T02:53:00Z",2.2,-1.7,6,170,"OVC",10,"KMSP 290253Z 17006KT 10SM FEW120 BKN130 OVC250 02/M02 A2949 RMK AO2 SLP993 T00221017 53004",2022.12.28-21.55.01
"METAR","KMSP","2022-12-29T03:53:00Z",2.2,-1.7,5,160,"OVC",10,"KMSP 290353Z 16005KT 10SM FEW070 SCT100 OVC130 02/M02 A2947 RMK AO2 SLP988 VIRGA T00221017",2022.12.28-22.55.01
"METAR","KMSP","2022-12-29T04:53:00Z",2.2,-1.1,4,150,"OVC",10,"KMSP 290453Z 15004KT 10SM FEW080 SCT100 OVC120 02/M01 A2948 RMK AO2 SLP991 VIRGA T00221011",2022.12.28-23.55.01
"METAR","KMSP","2022-12-29T05:53:00Z",1.7,-1.7,8,150,"OVC",10,"KMSP 290553Z 15008KT 10SM FEW080 BKN095 OVC110 02/M02 A2949 RMK AO2 SLP993 4/008 T00171017 10028 20011 400331033 53000",2022.12.29-00.55.01
"METAR","KMSP","2022-12-29T06:53:00Z",1.7,-1.1,0,0,"BKN",10,"KMSP 290653Z 00000KT 10SM BKN110 02/M01 A2949 RMK AO2 SLP993 T00171011",2022.12.29-01.55.01
"METAR","KMSP","2022-12-29T07:53:00Z",1.1,-1.7,5,150,"BKN",10,"KMSP 290753Z 15005KT 10SM BKN110 01/M02 A2949 RMK AO2 SLP992 T00111017",2022.12.29-02.55.01
"METAR","KMSP","2022-12-29T08:53:00Z",1.1,-1.1,3,130,"OVC",10,"KMSP 290853Z 13003KT 10SM OVC150 01/M01 A2950 RMK AO2 SLP998 T00111011 53005",2022.12.29-03.55.01
"METAR","KMSP","2022-12-29T09:53:00Z",0.6,-1.7,3,130,"OVC",10,"KMSP 290953Z 13003KT 10SM OVC160 01/M02 A2952 RMK AO2 SLP003 T00061017",2022.12.29-04.55.01
"METAR","KMSP","2022-12-29T10:53:00Z",1.7,-0.6,4,230,"OVC",10,"KMSP 291053Z 23004KT 10SM OVC140 02/M01 A2956 RMK AO2 PRESRR SLP018 T00171006",2022.12.29-05.55.01
"METAR","KMSP","2022-12-29T11:53:00Z",1.7,-1.1,3,220,"OVC",10,"KMSP 291153Z 22003KT 10SM OVC140 02/M01 A2957 RMK AO2 SLP020 4/008 T00171011 10022 20006 51021",2022.12.29-06.55.01
"METAR","KMSP","2022-12-29T12:53:00Z",1.1,-1.1,3,230,"BKN",10,"KMSP 291253Z 23003KT 10SM BKN140 01/M01 A2957 RMK AO2 SLP021 T00111011",2022.12.29-07.55.01
"METAR","KMSP","2022-12-29T13:53:00Z",0.6,-1.7,4,270,"BKN",8,"KMSP 291353Z 27004KT 8SM BKN140 BKN250 01/M02 A2960 RMK AO2 SLP031 T00061017",2022.12.29-08.55.01
"METAR","KMSP","2022-12-29T14:53:00Z",0.6,-0.6,0,0,"OVC",8,"KMSP 291453Z 00000KT 8SM FEW110 BKN140 OVC250 01/M01 A2960 RMK AO2 SLP033 T00061006 53012",2022.12.29-09.55.01
"METAR","KMSP","2022-12-29T15:53:00Z",1.1,-0.6,4,280,"OVC",8,"KMSP 291553Z 28004KT 8SM FEW100 BKN140 OVC250 01/M01 A2963 RMK AO2 SLP043 T00111006",2022.12.29-10.55.01
"METAR","KMSP","2022-12-29T16:53:00Z",1.7,-1.1,4,260,"OVC",8,"KMSP 291653Z 26004KT 8SM BKN110 OVC130 02/M01 A2964 RMK AO2 SLP046 T00171011",2022.12.29-11.55.01
"METAR","KMSP","2022-12-29T17:53:00Z",1.7,-0.6,3,0,"OVC",7,"KMSP 291753Z VRB03KT 7SM BKN100 BKN130 OVC250 02/M01 A2964 RMK AO2 SLP044 4/007 T00171006 10017 20000 50010",2022.12.29-12.55.02
